Row	s_4207	Growth
YHR043C	1.000000433	1
YHR044C	1.004086164	1
YHR109W	1.00000047	1
YDR440W	0.999998347	1
YHR119W	0.999999963	1
YJL168C	0.999998347	1
YIL023C	0.999998347	1
YMR243C	1	1
YOR316C	1	1
YIL043C	0.999999963	1
YML125C	0.999999969	1
YKL150W	0.999999859	1
YIR036C	0.999999963	1
YIR038C	0.999999821	1
YKR076W	0.999998451	1
YMR251W	0.999998347	1
YLL060C	0.999999963	1
YKL069W	0.999999963	1
YKL103C	0.999999859	1
YKL215C	0.999999963	1
YKL218C	0.999998451	1
YGR154C	0.999999963	1
YFL061W	1	1
YNL335W	1	1
YFL059W	0.999999669	1
YNL333W	0.999998451	1
YFR044C	0.999999773	1
YDL120W	0.999998451	1
YDL219W	0.999998488	1
YDL236W	0.999998451	1
YDR009W	0.999998488	1
YDR036C	0.999999859	1
YDR038C	0.999998451	1
YDR039C	0.999998451	1
YDR040C	0.999999963	1
YDR051C	0.999998451	1
YOL075C	0.999999963	1
YDR111C	1.004294912	1
YDR248C	0.999999963	1
YDR410C	0.99999831	1
YDR437W	1.000000433	1
YGR216C	1.000000433	1
YNL038W	1.000000433	1
YPL076W	0.999998451	1
YPL096C-A	1.000000433	1
YPL175W	1.000000433	1
YDR516C	0.562552656	1
YDR533C	0.999999821	1
YMR322C	0.999999821	1
YOR391C	0.999999821	1
YPL280W	0.999999821	1
YGL006W	1	1
YGL167C	1	1
YGL017W	0.999999963	1
YGL022W	0.999999963	1
YGL027C	0.999999821	1
YGL038C	0.999999859	1
YGL065C	0.999999338	1
YGL156W	0.999998488	1
YGL169W	0.999998488	1
YGL196W	0.999999859	1
YGR012W	0.999998451	1
YGR036C	0.999999975	1
YGR046W	0.999998451	1
YGR144W	0.999998451	1
YGR227W	0.999998451	1
YGR234W	0.999998488	1
YJL046W	0.999998488	1
YJL126W	0.99999831	1
YJR040W	0.999998922	1
YJR051W	0.999946031	1
YJR104C	0.999999963	1
YJR131W	0.999999773	1
YLR057W	1.000000433	1
